hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
L Hotel at Broadway,218067,1.3091791,103.8532245,We took breakfast at outside area. There are lots of restaurants near the hotel area.,Toilet width is very narrow; around three feet wide. Overall cleanliness of toilet is very poor. Slope of toilet floor is not well designed. Water runs everywhere on the toilet floor during shower time.Toilet kit is not provided.Our request to change the room for better one was not entertained by the reception staff.,We took breakfast at outside area. There are lots of restaurants near the hotel area. Toilet width is very narrow; around three feet wide. Overall cleanliness of toilet is very poor. Slope of toilet floor is not well designed. Water runs everywhere on the toilet floor during shower time.Toilet kit is not provided.Our request to change the room for better one was not entertained by the reception staff.,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Staff is great! Room cleaning is really good! Wifi works great! Location is just perfect!!! For anyone who is a foodie has got too many options for Food!! Thank u.. will visit soon!!!,Only thing which can be improved is the lighting in the rooms. U need bright lights at least twice a day when u r getting ready. Please do something with that.. everything else is just perfect!!!,Staff is great! Room cleaning is really good! Wifi works great! Location is just perfect!!! For anyone who is a foodie has got too many options for Food!! Thank u.. will visit soon!!! Only thing which can be improved is the lighting in the rooms. U need bright lights at least twice a day when u r getting ready. Please do something with that.. everything else is just perfect!!!,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,"Location,  nice staff, clean rooms and toilets, special requests were considered. More over we could see new year fireworks from our room in fifth floor.",,"Location,  nice staff, clean rooms and toilets, special requests were considered. More over we could see new year fireworks from our room in fifth floor. ",5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Staff friendly and helpful. Location is fantastic.,Hand-push in the washroom was very problematic.,Staff friendly and helpful. Location is fantastic. Hand-push in the washroom was very problematic.,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,"I was there with my family, i told them give a dabol bed Room becoz we liven  husband wife. They can't gibe me. After that i ask them give me a dabol balenket that one also they can not give us",,"I was there with my family, i told them give a dabol bed Room becoz we liven  husband wife. They can't gibe me. After that i ask them give me a dabol balenket that one also they can not give us ",1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Good for family stay,,Good for family stay ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,Aircon not working properly and room its not clean. Unworthy for 100 $ this room., Aircon not working properly and room its not clean. Unworthy for 100 $ this room.,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,Room should be more clean and decorative., Room should be more clean and decorative.,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Location is good.,"The cleaning staff stole my belongings, which I took pictures before leaving the room to see what was in the room, but they refused to do. So so bad experience for me :(","Location is good. The cleaning staff stole my belongings, which I took pictures before leaving the room to see what was in the room, but they refused to do. So so bad experience for me :(",1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,"Less cleaness and facilities, Also room dimension is very small."," Less cleaness and facilities, Also room dimension is very small.",1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
