hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Hotel 81 Geylang,398863,1.2899175,103.8519072,Super cosy,"Safe not working, kettle not working","Super cosy Safe not working, kettle not working",5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,smells cigarette! bedsheet is so dirty and have cockroach somemore!!! i went other hotel 81 but not like this!your is worst even ur staff!!, smells cigarette! bedsheet is so dirty and have cockroach somemore!!! i went other hotel 81 but not like this!your is worst even ur staff!!,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,TV problem, TV problem,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Nothing make me happy actually...,I saw many cockroach below my bed..... Omg i cant get help from anyone coz im stay under SHN quarantine.... Feel so sad,Nothing make me happy actually... I saw many cockroach below my bed..... Omg i cant get help from anyone coz im stay under SHN quarantine.... Feel so sad,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,noise in the hallway of other guests, noise in the hallway of other guests,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Staff not friendly, Staff not friendly,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Cleaning isn't excellent because of some hair left in barth tub and cigarette ashes left on little foot carpet.  Value for the money just alright because of the location.,,Cleaning isn't excellent because of some hair left in barth tub and cigarette ashes left on little foot carpet.  Value for the money just alright because of the location. ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"Fast check in, cockroach-free in room, tv, bathroom, more...","Bed was more on the hard type, other than that, it's all good","Fast check in, cockroach-free in room, tv, bathroom, more... Bed was more on the hard type, other than that, it's all good",5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Too much dust in the room.even top of the mini bar. One cup wasn’t clean properly, Too much dust in the room.even top of the mini bar. One cup wasn’t clean properly,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Quick check in and out.,"Life down, climb stairs .....","Quick check in and out. Life down, climb stairs .....",5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,All,Not,All Not,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The staff were super friendly and accommodating. They get 10/10.,The room was extremely dirty. Lots of dust and hadn’t been cleaned properly. Toilet paper on the floor of the bathroom and hair everywhere. The door could not lock from the inside and the hallway smelled strongly of smoke.,The staff were super friendly and accommodating. They get 10/10. The room was extremely dirty. Lots of dust and hadn’t been cleaned properly. Toilet paper on the floor of the bathroom and hair everywhere. The door could not lock from the inside and the hallway smelled strongly of smoke.,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,Nothing,Everything dirty,Nothing Everything dirty,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,Room very very dirty, Room very very dirty,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"Elevator damaged, nobody support travelers for baggage..","Elevator damaged, nobody support travelers for baggage..Very dirty room wall and facilities..","Elevator damaged, nobody support travelers for baggage.. Elevator damaged, nobody support travelers for baggage..Very dirty room wall and facilities..",1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The bed was nice,The window faces the wall,The bed was nice The window faces the wall,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,"Theres nothing i like there , except for the staff there , they are super friendly , housekeepers , counter staff and manager","basically i think i came at the wrong time on my 1st night , theres a group of china tourist which they speak super loud during 11pm bedtime and morning about 7am , i think this hotel they cater big china groups , only the 2nd night i have slighty better sleep and on my last night is even worse , another group of china tourist came up and talk so loud , overall room is good but nothing to shout about .","Theres nothing i like there , except for the staff there , they are super friendly , housekeepers , counter staff and manager basically i think i came at the wrong time on my 1st night , theres a group of china tourist which they speak super loud during 11pm bedtime and morning about 7am , i think this hotel they cater big china groups , only the 2nd night i have slighty better sleep and on my last night is even worse , another group of china tourist came up and talk so loud , overall room is good but nothing to shout about .",1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,The price. Convenience.,No comment,The price. Convenience. No comment,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,2,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,3,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
