hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"The hotel very new, very good location, surrounded by choices of food, very clean and neat, good airing, comfortable and modern.","Beside beds has too many high rise objects, which will affect sleep and health. Best if could remove away everything higher than bed, especially besides our head! Then will make it a perfect place to stay.","The hotel very new, very good location, surrounded by choices of food, very clean and neat, good airing, comfortable and modern. Beside beds has too many high rise objects, which will affect sleep and health. Best if could remove away everything higher than bed, especially besides our head! Then will make it a perfect place to stay.",4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Walking distance of the main sights.,Is expensive.,Walking distance of the main sights. Is expensive.,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Room clean,No on site food.Sheets were torn on the edgesHotel lacked atmosphere,Room clean No on site food.Sheets were torn on the edgesHotel lacked atmosphere,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Very conveniently located.  The room was clean and nice.  The swimming pool was magnificent and was available from 6am.  I love this hotel.,Due to the system issue the check in process took 15 minutes.  I think it was one-off issue so I don't mind.,Very conveniently located.  The room was clean and nice.  The swimming pool was magnificent and was available from 6am.  I love this hotel. Due to the system issue the check in process took 15 minutes.  I think it was one-off issue so I don't mind.,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Cleanliness, cosy, convenient location to eateries & MRT","The bidet was not working so well, shower head was spraying water out at the bottom... Otherwise all is great. Pillow was too soft to my liking. Didn't had a good sleep though.","Cleanliness, cosy, convenient location to eateries & MRT The bidet was not working so well, shower head was spraying water out at the bottom... Otherwise all is great. Pillow was too soft to my liking. Didn't had a good sleep though.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Front Office Manager was very helpful and efficient. Great rooftop pool. Location was ideal for me. Strong and stable wi-fi.,,Front Office Manager was very helpful and efficient. Great rooftop pool. Location was ideal for me. Strong and stable wi-fi. ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Great location in CBD near lots of food & a mall. 2 train stations within walking distance.,Difficult to find entrance.,Great location in CBD near lots of food & a mall. 2 train stations within walking distance. Difficult to find entrance.,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Right in the centre of Chinatown was great for options for food and drinks,,Right in the centre of Chinatown was great for options for food and drinks ,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Everything was perfect!!!Highly recommented!!!,,Everything was perfect!!!Highly recommented!!! ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Location was wonderful. They made my room upgraded and it was really comfortable to stay in. There are many eating places around from affordable one to luxury one.,,Location was wonderful. They made my room upgraded and it was really comfortable to stay in. There are many eating places around from affordable one to luxury one. ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Modern well appointed hotel. Large room by Singapore standards. Lovely roof top pool area.,The modern light system in the room took a bit of getting used to.,Modern well appointed hotel. Large room by Singapore standards. Lovely roof top pool area. The modern light system in the room took a bit of getting used to.,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,the bath gel... very nice,nil,the bath gel... very nice nil,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
