hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,the view,"room was a little old and tired, the tv was small and unusable to be honest and needs some TLC","the view room was a little old and tired, the tv was small and unusable to be honest and needs some TLC",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"The late check out, hair dresser on site",That there is no cocktail menu for poolside and room service variety is limited. Suite we were in could do with an update in deco,"The late check out, hair dresser on site That there is no cocktail menu for poolside and room service variety is limited. Suite we were in could do with an update in deco",3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Overall good, environment comfortable, staff approachable. Very good breakfast.Feel amaze with the Grisini dining, a great surprise for us. The staffs there also very professional and friendly. Food are wonderful.",Tv channel limited choice. Check in was late and check out time too early,"Overall good, environment comfortable, staff approachable. Very good breakfast.Feel amaze with the Grisini dining, a great surprise for us. The staffs there also very professional and friendly. Food are wonderful. Tv channel limited choice. Check in was late and check out time too early",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Location and breakfast,The fridge did not work properly. The selection and reception of TV programs was terrible. There was construction going on outside which was noisy at times.,Location and breakfast The fridge did not work properly. The selection and reception of TV programs was terrible. There was construction going on outside which was noisy at times.,2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,,I was only given 1 complimentary parking ticket per day. I was rejected when I asked for the 2nd ticket. I found that the car park was mostly empty hence I don't understand the rejection. Hotel should consider to provide for at least 2 coupons., I was only given 1 complimentary parking ticket per day. I was rejected when I asked for the 2nd ticket. I found that the car park was mostly empty hence I don't understand the rejection. Hotel should consider to provide for at least 2 coupons.,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Great location on the river with great views. The buffet breakfast was amazing.,No rooms with balconies.,Great location on the river with great views. The buffet breakfast was amazing. No rooms with balconies.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Superb but you put on weight,It’s what you expect for the cost,Superb but you put on weight It’s what you expect for the cost,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,The friendly Environment,Nil,The friendly Environment Nil,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,good bed and well placed in the town by the river,the bathroom are a bit outdated,good bed and well placed in the town by the river the bathroom are a bit outdated,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Breakfast has a various and fresh dishes.,Slow check-in process even we did pre-check in.,Breakfast has a various and fresh dishes. Slow check-in process even we did pre-check in.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,breakfast,swimming pool,breakfast swimming pool,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,It was okay,The power points are outdatedActually the entire hotel is outdated,It was okay The power points are outdatedActually the entire hotel is outdated,2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,location,,location ,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,nothing much expect the breakfast,location very isolated,nothing much expect the breakfast location very isolated,2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Paul from concierge was supremely helpful booking us taxis and advising where the best food places were. The breakfast each morning was nicely varied and delicious. Rooms are well cleaned and maintained each day.,The location wasn't convenient to public transport.,Paul from concierge was supremely helpful booking us taxis and advising where the best food places were. The breakfast each morning was nicely varied and delicious. Rooms are well cleaned and maintained each day. The location wasn't convenient to public transport.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Friendly staff,Time slot booking for breakfastExpensive surcharge for early check-in which was requested before,Friendly staff Time slot booking for breakfastExpensive surcharge for early check-in which was requested before,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"my room were not well clean by the time i stayed, swimming pool was small and gym facilities were very old and hotel lobby was so small. location was ok. breakfast is good.","my bathroom was not well clean, swimming pool was small and gym facilities were old","my room were not well clean by the time i stayed, swimming pool was small and gym facilities were very old and hotel lobby was so small. location was ok. breakfast is good. my bathroom was not well clean, swimming pool was small and gym facilities were old",3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,ambiance was good 👍🏻,Room carpet was smelly pool side bar is closedlights button was not working,ambiance was good 👍🏻 Room carpet was smelly pool side bar is closedlights button was not working,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"staff issue the wrong invoice that very take time since we give the information in advance 3 days before still wrong, bath hub cannot used.","Air con very cool ., very love  it ........ ...........         water is good very strong flow water. ,    very   love it ,, staff services very slow , after check in no","staff issue the wrong invoice that very take time since we give the information in advance 3 days before still wrong, bath hub cannot used. Air con very cool ., very love  it ........ ...........         water is good very strong flow water. ,    very   love it ,, staff services very slow , after check in no",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,The hotel was beautiful and clean.,The room was not commensurate to the value charged.,The hotel was beautiful and clean. The room was not commensurate to the value charged.,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Room, pillows and bed are comfortable. Very nice views of the city.","The false cost, not clear. The ++ on rate sold did not include this while it should have. Cost over $100 more. Booking,com should ensure the full real cost is quoted....","Room, pillows and bed are comfortable. Very nice views of the city. The false cost, not clear. The ++ on rate sold did not include this while it should have. Cost over $100 more. Booking,com should ensure the full real cost is quoted....",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,No bf,Nil,No bf Nil,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Massive hotel and busy all the times. Seems to be a popular choice for group travelers. Clean, efficient and front desk staff are helpful",Breakfast is in a very small area considering the no if guests. Food quality can be improved.,"Massive hotel and busy all the times. Seems to be a popular choice for group travelers. Clean, efficient and front desk staff are helpful Breakfast is in a very small area considering the no if guests. Food quality can be improved.",3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Overall, exceeding expectations, especially in terms of value for money. Location, cleanliness, service quality, facilities.It meets all basic requirements, especially if you travel for work. And facilities are considered quite well maintained. Location is reasonably convenient, where you get a really nearby bus stop, and just few stop to an mrt station.","Perhaps, in room dining option is to be reviewed. Hehe...","Overall, exceeding expectations, especially in terms of value for money. Location, cleanliness, service quality, facilities.It meets all basic requirements, especially if you travel for work. And facilities are considered quite well maintained. Location is reasonably convenient, where you get a really nearby bus stop, and just few stop to an mrt station. Perhaps, in room dining option is to be reviewed. Hehe...",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,the river restaurant and the staff was awesome,misunderstandings was quite often. waiting time on arrival for room was to long. general if any questions waiting time was long for simple questions and answers.,the river restaurant and the staff was awesome misunderstandings was quite often. waiting time on arrival for room was to long. general if any questions waiting time was long for simple questions and answers.,2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,excellent location and breakfast. very friendly and helpfull staff. beautiful seating on the river front with food and drink service. comfortable rooms.,however room service staff and operator needs more training. was told by telephone operator that there is no refreidgerator in the rooms..... actually there was near the writing table.. also some of the room delivery staff do not speak english which is a problem. plug points on the wall are 3 pin with child lock. very difficult to use a 2 pin plug unless there is a adaptor. water did not drain well in the wash basin. pillows are too high.,excellent location and breakfast. very friendly and helpfull staff. beautiful seating on the river front with food and drink service. comfortable rooms. however room service staff and operator needs more training. was told by telephone operator that there is no refreidgerator in the rooms..... actually there was near the writing table.. also some of the room delivery staff do not speak english which is a problem. plug points on the wall are 3 pin with child lock. very difficult to use a 2 pin plug unless there is a adaptor. water did not drain well in the wash basin. pillows are too high.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Breakfast and easy access for walking and cycling,,Breakfast and easy access for walking and cycling ,3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,room and foods,location,room and foods location,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"large room, clean, comfi bed.",only 2 pack of tea bag offered. No coffee maker in a 5 star hotel. Hardly anything in the mini bar. Breakfast was crowded and chaotic and more like a neighborhood hawker center,"large room, clean, comfi bed. only 2 pack of tea bag offered. No coffee maker in a 5 star hotel. Hardly anything in the mini bar. Breakfast was crowded and chaotic and more like a neighborhood hawker center",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Reception staff excellent, assisted us with late checkout. Breakfast was v good. concierge very helpful.","A bit tired, pool area drab, pool bar not operating, phone to order drinks not working so had to carry drinks via lifts from bar to pool, no offers to help,","Reception staff excellent, assisted us with late checkout. Breakfast was v good. concierge very helpful. A bit tired, pool area drab, pool bar not operating, phone to order drinks not working so had to carry drinks via lifts from bar to pool, no offers to help,",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Hotel is a little bit old but the cleanliness is excellent. The breakfast was also excellent.,Pillows were a little bit too soft for our liking.,Hotel is a little bit old but the cleanliness is excellent. The breakfast was also excellent. Pillows were a little bit too soft for our liking.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Location was good, near Great Wall shopping Ce tre",,"Location was good, near Great Wall shopping Ce tre ",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"The room is good, but only the single bed distant a bit too close.",So far so good,"The room is good, but only the single bed distant a bit too close. So far so good",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,The staff,"There is room for improvement for the hotel breakfast, especially the coffee station and the pastry. Pastries were dry and hard. Coffee were tard.","The staff There is room for improvement for the hotel breakfast, especially the coffee station and the pastry. Pastries were dry and hard. Coffee were tard.",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"Room was clean and huge, albeit a free upgrade. Location was near Great World City with a variety of F&B outlets.Staffs were generally welcoming and friendly, gave us cakes twice and a balloon to celebrate my daughter’s birthday.","facilities were a little rundown, considering this is isn’t the newest hotel around.breakfast options wasn’t the best, with congested queues at the food stations during the peak breakfast hour.","Room was clean and huge, albeit a free upgrade. Location was near Great World City with a variety of F&B outlets.Staffs were generally welcoming and friendly, gave us cakes twice and a balloon to celebrate my daughter’s birthday. facilities were a little rundown, considering this is isn’t the newest hotel around.breakfast options wasn’t the best, with congested queues at the food stations during the peak breakfast hour.",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Beds were comfortable and location was near the great world city mall,Floor was not very clean. We stepped on 2 sweets on the floor in the room when coming in initially. Breakfast was also average.,Beds were comfortable and location was near the great world city mall Floor was not very clean. We stepped on 2 sweets on the floor in the room when coming in initially. Breakfast was also average.,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,it has many restaurants nearby. the bus station is just in front. we liked very much the big breakfast choice. the staff was friendly and helpful.,,it has many restaurants nearby. the bus station is just in front. we liked very much the big breakfast choice. the staff was friendly and helpful. ,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"1. Good service2. Professional personnel3. Quiet surroundings, suitable for my work and meetings","Food quality at Food Capital and for Room Service are limited, and quality was mediocre for the prices charged.Wifi was slightly spotty intermittently, was little disruptive for my meetings and work, but manageable.","1. Good service2. Professional personnel3. Quiet surroundings, suitable for my work and meetings Food quality at Food Capital and for Room Service are limited, and quality was mediocre for the prices charged.Wifi was slightly spotty intermittently, was little disruptive for my meetings and work, but manageable.",3,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"decent enough location, close to great world shopping complex and a future MRT station being built across the road.","bathroom wasn’t exactly clean and I wouldn’t class it as 5 stars, certainly 4 but not 5. moldy grout and the shower screen doesn’t close properly. no handle on the inside of the shower screen so maybe that’s why it didn’t close properly?","decent enough location, close to great world shopping complex and a future MRT station being built across the road. bathroom wasn’t exactly clean and I wouldn’t class it as 5 stars, certainly 4 but not 5. moldy grout and the shower screen doesn’t close properly. no handle on the inside of the shower screen so maybe that’s why it didn’t close properly?",2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,,, ,2,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,Got upgraded to a suite although this is quite dated but rooms are large and comfortable.,Swimming Pool and Breakfast wasn't great,Got upgraded to a suite although this is quite dated but rooms are large and comfortable. Swimming Pool and Breakfast wasn't great,4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
Grand Copthorne Waterfront,169663,1.29041745,103.83501445,"BreakFast, Rooms, Cleanliness,",Staff attitude to resolve.,"BreakFast, Rooms, Cleanliness, Staff attitude to resolve.",4,['7.3'],7.8,7.8,8.1,7.5,8.0,7.2,8.0
